course_title,course_organization,course_certificate_type,course_time,course_rating,course_reviews_num,course_difficulty,course_url,course_students_enrolled,course_skills
(ISC)2 Systems Security Certified Practitioner (SSCP),ISC2,Specialization,3 - 6 Months,4.7,492,Beginner,https://www.coursera.org/specializations/sscp-training,6958.0,"['Risk Management', 'Access Control', 'Asset', 'Incident Detection and Response', 'Cloud Computing Security', 'Wireless Security', 'Security Software']"
.NET FullStack Developer,Board Infinity,Specialization,1 - 3 Months,4.3,51,Intermediate,https://www.coursera.org/specializations/dot-net-fullstack,2531.0,"['Web API', 'Web Development', 'Cascading Style Sheets (CSS)', 'HTML', 'React (Web Framework)', 'RESTful APIs', 'C programming', 'API Integration', 'ModelViewController (MVC)', 'asp.net']"
A Crash Course in Causality Inferring Causal Effects from Observational Data,University of Pennsylvania,Course,1 - 3 Months,4.7,517,Intermediate,https://www.coursera.org/learn/crash-course-in-causality,39004.0,"['Instrumental Variable', 'Propensity Score Matching', 'Causal Inference', 'Causality']"
A life with ADHD,University of Geneva,Course,1 - 3 Months,4.7,,Beginner,https://www.coursera.org/learn/life-with-adhd,47565.0,"['differential diagnosis and comorbidities', 'symptoms assessment', 'accomodation', 'Neuroscience', 'intervention']"
AI For Business,University of Pennsylvania,Specialization,3 - 6 Months,4.7,381,Beginner,https://www.coursera.org/specializations/ai-for-business-wharton,13671.0,"['Artificial Intelligence (AI)', 'Machine Learning', 'Management', 'Analytics', 'Fraud Prevention']"
AI For Everyone,DeepLearning.AI,Course,1 - 4 Weeks,4.8,39.3k,Beginner,https://www.coursera.org/learn/ai-for-everyone,1092100.0,"['Workflow of Machine Learning projects', 'AI terminology', 'AI strategy', 'Workflow of Data Science projects']"
AI Foundations for Everyone,IBM,Specialization,3 - 6 Months,4.7,14k,Beginner,https://www.coursera.org/specializations/ai-foundations-for-everyone,20717.0,"['Data Science', 'Deep Learning', 'Artificial Intelligence (AI)', 'Machine Learning', 'Watson (Computer)']"
AI Product Management,Duke University,Specialization,3 - 6 Months,4.7,342,Beginner,https://www.coursera.org/specializations/ai-product-management-duke,19086.0,"['Data Science', 'Predictive Modelling', 'Artificial Neural Network', 'Ethics', 'Artificial Intelligence (AI)', 'Machine Learning', 'Product Management', 'product design', 'User Experience (UX)', 'Modeling', 'Privacy', 'Project Management']"
AI and Climate Change,DeepLearning.AI,Course,1 - 4 Weeks,4.8,41,Beginner,https://www.coursera.org/learn/ai-and-climate-change,3472.0,"['AI for Good project framework', 'Biodiversity Monitoring', 'Supervised Learning', 'Computer Vision', 'Wind Power Generation Modeling']"
AI and Public Health,DeepLearning.AI,Course,1 - 4 Weeks,4.7,111,Beginner,https://www.coursera.org/learn/ai-and-public-health,8294.0,"['Air Quality Monitoring', 'AI for Good project framework', 'Jupyter notebooks', 'Supervised Learning', 'Exploratory Data Analysis']"
