skill_id,ten_ky_nang
1,Datenanalyse
2,Datenbereinigung
3,Datenvisualisierung (DataViz)
4,Fallstudie
5,Job-Portfolio
6,Prasentation
7,R Markdown
8,R-Programmierung
9,Rstudio
10,Tabellenkalkulation
11,Tableau-Software
12,3d reconstruction
13,AB Testing
14,AB Testing and Model Deployment
15,AI Productivity
16,AI for Good project framework
17,AI strategy
18,AI terminology
19,API Integration
20,API endpoints
21,API security
22,APIs
23,AWS Account Management
24,AWS Certification Preparation
25,AWS Identity and Access Management
26,AWS Management Console
27,AWS cloud
28,Ableton
29,Academic Writing
30,Access Control
31,Access Structure
32,Accessibility
33,Accounting
34,Accounting Analysis
35,Accounting Concepts and Measurement
36,Accounting Cycle
37,Accounts receivable and cash receipts
38,Acercamiento al cliente
39,Active Listening
40,Ad Management
41,Adaptability
42,Adaptation
43,Adjective
44,Adobe XD
45,Adquisiciones
46,Advertising Effectiveness Evaluation
47,Advice for Model Development
48,Aerospace Engineering
49,Affordable Care Act
50,Agile Leadership
51,Agile Management
52,Agile PM
53,Agile Software Development
54,Agile Supply Chain Planning
55,Agile and Scrum
56,Agregacao de dados
57,Agregacion de datos
58,Agregation des donnees
59,Air Quality Monitoring
60,Airplane conception and validation
61,Alcatel Business Communications
62,Algorithm Design
63,Algorithmes et techniques de chiffrement
64,Algorithmic Trading
65,Algorithms
66,Algorithms On Strings
67,Algoritma dan Teknik Enkripsi
68,Allergyasthma.
69,Amazon Web Services (Amazon AWS)
70,American Law
71,American Law Policy
72,Amplify your presentations by having ChatGPT critique your slides or other important documents
73,Analise dos dados
74,Analisis
75,Analisis y estadisticas de marketing
76,Analyse de donnees
77,Analyse des donnees
78,Analysis for Instructional Design
79,Analysis of Algorithms
80,Analytics
81,Analyze Metrics
82,Analyze and model losses in magnetic components
83,Anatomy
84,Anatomy of metastasis
85,Android Software Development
86,Android Studio
87,Angularjs
88,Animal
89,Animal Behavior
90,Anomaly Detection
91,Ansible
92,Apache Airflow
93,Apache Hadoop
94,Apache Kafka
95,Apache Spark
96,Apigee API Platform
97,AppSheet
98,AppSheet Automation
99,Application Design
100,Application Programming Interfaces (API)
101,Application development
102,Application of Financial Statistics and Probability
103,Applied Creativity
104,Applied aerodynamics
105,Appreciative Inquiry
106,Approvisionnement
107,Approximation Algorithm
108,Apresentacao
109,Architecting on AWS
110,Architecture
111,Arduino
112,Armature
113,Arrays
114,Art
115,Art History
116,Artifical Intelligence
117,Artificial Intelligence (AI)
118,Artificial Neural Network
119,Asesoramiento
