external_course_id,title,organization,certificate_type,duration,rating,reviews_num,difficulty,external_url,students_enrolled
1,(ISC)2 Systems Security Certified Practitioner (SSCP),ISC2,Specialization,3 - 6 Months,4.7,492,Beginner,https://www.coursera.org/specializations/sscp-training,6958.0
2,.NET FullStack Developer,Board Infinity,Specialization,1 - 3 Months,4.3,51,Intermediate,https://www.coursera.org/specializations/dot-net-fullstack,2531.0
3,A Crash Course in Causality Inferring Causal Effects from Observational Data,University of Pennsylvania,Course,1 - 3 Months,4.7,517,Intermediate,https://www.coursera.org/learn/crash-course-in-causality,39004.0
4,A life with ADHD,University of Geneva,Course,1 - 3 Months,4.7,,Beginner,https://www.coursera.org/learn/life-with-adhd,47565.0
5,AI For Business,University of Pennsylvania,Specialization,3 - 6 Months,4.7,381,Beginner,https://www.coursera.org/specializations/ai-for-business-wharton,13671.0
6,AI For Everyone,DeepLearning.AI,Course,1 - 4 Weeks,4.8,39.3k,Beginner,https://www.coursera.org/learn/ai-for-everyone,1092100.0
7,AI Foundations for Everyone,IBM,Specialization,3 - 6 Months,4.7,14k,Beginner,https://www.coursera.org/specializations/ai-foundations-for-everyone,20717.0
8,AI Product Management,Duke University,Specialization,3 - 6 Months,4.7,342,Beginner,https://www.coursera.org/specializations/ai-product-management-duke,19086.0
9,AI and Climate Change,DeepLearning.AI,Course,1 - 4 Weeks,4.8,41,Beginner,https://www.coursera.org/learn/ai-and-climate-change,3472.0
10,AI and Public Health,DeepLearning.AI,Course,1 - 4 Weeks,4.7,111,Beginner,https://www.coursera.org/learn/ai-and-public-health,8294.0
11,AI for Good,DeepLearning.AI,Specialization,1 - 3 Months,4.8,148,Beginner,https://www.coursera.org/specializations/ai-for-good,6742.0
12,AI for Medical Diagnosis,DeepLearning.AI,Course,1 - 4 Weeks,4.7,1.9k,Intermediate,https://www.coursera.org/learn/ai-for-medical-diagnosis,65794.0
13,AI for Medicine,DeepLearning.AI,Specialization,1 - 3 Months,4.7,2.2k,Intermediate,https://www.coursera.org/specializations/ai-for-medicine,41525.0
14,AWS Cloud Practitioner Essentials,Amazon Web Services,Course,1 - 3 Months,4.8,1.5k,Beginner,https://www.coursera.org/learn/aws-cloud-practitioner-essentials,111494.0
15,AWS Cloud Solutions Architect,Amazon Web Services,Professional Certificate,3 - 6 Months,4.8,4.6k,Intermediate,https://www.coursera.org/professional-certificates/aws-cloud-solutions-architect,35988.0
