Hours_Studied,Attendance,Previous_Scores,Sleep_Hours,Tutoring_Sessions,Physical_Activity,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Motivation_Level,Internet_Access,Family_Income,Peer_Influence,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Gender,GROUP,GROUP_LABEL,Exam_Score
23,84,73,7,0,3,0,2,0,0,1,0,2,0,0,2,1,1,Trung bình,67
19,64,59,8,2,4,0,1,0,0,1,1,0,0,1,1,0,0,Yếu,61
24,98,91,7,2,4,1,1,1,1,1,1,1,0,2,2,1,3,Giỏi,74
29,89,98,8,1,4,0,1,1,1,1,1,0,0,0,1,1,3,Giỏi,71
19,92,65,6,3,4,1,1,1,1,1,1,1,0,1,2,0,3,Giỏi,70
19,88,89,8,3,3,1,1,1,1,1,1,2,0,2,2,1,3,Giỏi,71
29,84,68,7,1,2,1,0,1,0,1,0,1,0,0,1,1,1,Trung bình,67
25,78,50,6,1,2,0,2,1,1,1,2,0,0,0,0,1,1,Trung bình,66
17,94,80,6,0,1,1,2,0,2,1,1,1,0,1,2,1,2,Khá,69
23,98,71,8,0,5,1,1,1,1,1,2,2,0,0,1,1,3,Giỏi,72
17,80,88,8,4,4,0,2,0,1,0,1,1,0,1,1,1,2,Khá,68
17,97,87,6,2,2,1,2,1,0,1,0,1,0,0,2,1,3,Giỏi,71
21,83,97,8,2,4,1,1,1,0,1,1,2,0,0,2,1,3,Giỏi,70
9,82,72,8,2,3,1,1,1,1,1,1,2,0,2,2,1,1,Trung bình,66
10,78,74,8,1,4,1,2,1,1,1,0,1,0,2,2,1,0,Yếu,65
17,68,70,8,2,4,1,1,0,1,1,1,2,0,0,2,0,0,Yếu,64
14,60,65,10,0,3,1,0,1,0,1,2,2,0,1,2,1,0,Yếu,60
22,70,82,6,1,3,0,1,1,1,1,0,1,0,0,2,0,0,Yếu,65
15,80,91,9,3,2,1,1,1,0,1,0,2,0,1,1,0,1,Trung bình,67
12,75,58,7,3,4,1,2,1,1,1,1,2,0,1,2,1,1,Trung bình,66
29,78,99,5,0,1,1,1,0,2,1,2,0,0,0,1,0,2,Khá,69
19,99,84,6,1,3,1,2,0,1,1,1,1,0,0,2,1,3,Giỏi,72
20,74,89,8,1,2,1,2,0,0,1,1,0,0,1,1,0,1,Trung bình,66
11,78,100,8,1,3,2,1,1,2,1,0,1,0,0,1,1,1,Trung bình,66
17,65,75,5,2,3,0,2,1,1,1,0,2,0,0,2,0,0,Yếu,63
21,62,54,6,0,3,2,0,1,2,1,2,2,0,2,0,1,0,Yếu,64
13,91,90,6,1,2,0,1,0,1,1,2,0,1,0,1,0,0,Yếu,65
22,83,94,6,0,2,2,2,1,1,1,2,1,0,1,1,1,3,Giỏi,71
16,90,58,4,1,3,1,1,0,1,1,0,1,0,0,1,0,1,Trung bình,66
18,66,51,4,2,2,2,2,0,0,1,0,1,0,1,2,1,0,Yếu,64
16,83,57,6,0,4,0,1,0,1,1,2,2,1,0,2,0,0,Yếu,63
31,70,66,7,1,3,1,2,1,1,1,2,0,0,1,2,1,2,Khá,69
20,69,96,8,2,3,1,1,1,1,1,1,2,0,0,2,1,1,Trung bình,67
14,60,50,5,2,3,2,1,0,1,1,1,1,0,1,2,0,0,Yếu,61
25,65,90,5,2,3,2,1,0,1,1,1,2,0,1,1,0,2,Khá,68
13,72,93,6,1,3,0,1,0,0,1,0,0,0,0,2,1,0,Yếu,61
21,65,91,7,2,3,1,0,1,0,1,1,2,0,0,0,0,0,Yếu,64
8,99,54,9,2,5,1,1,0,0,1,0,1,0,2,2,0,1,Trung bình,67
12,72,84,8,1,5,0,1,1,1,1,0,2,0,0,2,0,0,Yếu,63
21,65,98,6,1,4,0,1,1,0,1,1,0,0,0,2,1,0,Yếu,64
24,68,56,8,3,1,2,1,0,0,1,2,1,0,1,2,1,1,Trung bình,67
21,84,52,6,1,2,1,1,1,0,1,1,1,1,1,0,0,0,Yếu,65
19,63,94,7,1,3,0,2,0,1,1,1,2,0,0,1,1,0,Yếu,64
18,94,82,7,3,2,1,2,1,1,1,1,0,1,1,2,1,3,Giỏi,70
